Wall time,Step,Value
1666486338.707399,0,0.6015160083770752
1666486352.863136,1,0.708979606628418
1666486367.027613,2,0.7573760747909546
1666486381.14396,3,0.7788920998573303
1666486396.875552,4,0.7986005544662476
1666486411.017361,5,0.8135859966278076
1666486425.082619,6,0.8296793103218079
1666486439.18478,7,0.8398250937461853
1666486455.117425,8,0.8539358377456665
1666486469.210302,9,0.864956259727478
